,Bina novu,mekan,mertebe,otaq sayi,qiymet,sahe,sened
0,Yeni Tikili,Nerimanov r.,16.0,4,237000,200 ,Kupcali
1,Yeni Tikili,Yasamal r.,6.0,4,432000,192 ,Kupcali
2,Yeni Tikili,Nesimi r.,5.0,4,550000,200 ,Kupcali
3,Yeni Tikili,Xetai r.,5.0,4,137000,132 ,Kupcasiz
4,Yeni Tikili,Yasamal r.,4.0,4,425000,192 ,Kupcasiz
5,Yeni Tikili,,,2,83000,119 ,Kupcali
6,Yeni Tikili,Sabuncu r.,3.0,3,155000,100 ,Kupcali
7,Yeni Tikili,Yasamal r.,16.0,3,232000,145 ,Kupcali
8,Yeni Tikili,Bineqedi r.,11.0,3,195000,141 ,Kupcasiz
9,Kohne Tikili,Yasamal r.,4.0,5,450000,200 ,Kupcali
10,Yeni Tikili,Xetai r.,7.0,1,68000,63 ,Kupcasiz
11,Yeni Tikili,Xetai r.,2.0,2,117000,90 ,Kupcali
12,Yeni Tikili,Nerimanov r.,8.0,3,157000,125 ,Kupcasiz
13,Yeni Tikili,Nerimanov r.,7.0,3,153000,122 ,Kupcasiz
14,Yeni Tikili,Yasamal r.,2.0,1,115000,72 ,Kupcali
15,Yeni Tikili,Yasamal r.,2.0,3,225000,154 ,Kupcali
16,Kohne Tikili,Nesimi r.,5.0,5,180000,120 ,Kupcali
17,Yeni Tikili,Nesimi r.,5.0,3,255000,166 ,Kupcali
18,Yeni Tikili,Nerimanov r.,9.0,2,116000,89 ,Kupcasiz
19,Yeni Tikili,Yasamal r.,4.0,4,285000,186 ,Kupcasiz
20,Yeni Tikili,,,3,105000,135 ,Kupcasiz
21,Yeni Tikili,Nerimanov r.,14.0,3,157000,116 ,Kupcasiz
22,Yeni Tikili,Nerimanov r.,5.0,2,160000,110 ,Kupcasiz
23,Kohne Tikili,Yasamal r.,3.0,3,130000,70 ,Kupcali
24,Yeni Tikili,Yasamal r.,3.0,3,250000,142 ,Kupcali
25,Yeni Tikili,Masazir,5.0,1,28500,44 ,Kupcasiz
26,Kohne Tikili,Xezer r.,2.0,3,75000,80 ,Kupcali
27,Yeni Tikili,Yasamal r.,15.0,2,98000,60 ,Kupcali
28,Yeni Tikili,Yasamal r.,3.0,5,320000,246 ,Kupcasiz
29,Yeni Tikili,Bineqedi r.,8.0,3,109000,88 ,Kupcali
30,Yeni Tikili,Nesimi r.,17.0,3,282000,166 ,Kupcali
31,Yeni Tikili,Yasamal r.,3.0,3,215000,157 ,Kupcali
32,Yeni Tikili,Yasamal r.,8.0,2,115000,87 ,Kupcali
33,Kohne Tikili,,,3,210000,80 ,Kupcasiz
34,Yeni Tikili,,,3,112000,128 ,Kupcasiz
35,Yeni Tikili,Abseron r.,3.0,3,85000,90 ,Kupcasiz
36,Yeni Tikili,Nesimi r.,9.0,4,249000,163 ,Kupcasiz
37,Yeni Tikili,Yasamal r.,15.0,2,98000,60 ,Kupcali
38,Kohne Tikili,Yasamal r.,4.0,3,90000,50 ,Kupcali
39,Kohne Tikili,Bineqedi r.,2.0,3,95000,75 ,Kupcasiz
40,Yeni Tikili,Xetai r.,6.0,2,166000,95 ,Kupcasiz
41,Yeni Tikili,Sabuncu r.,4.0,3,87000,83 ,Kupcali
